id,"25436677: Please rate yourself in each of the following skills. Â Use 1 to mean ""weak"" and 5 to mean ""strong"".Programming [pro]Mathematics/mathematical thinking [math]Algorithm design/analysis [alg]Biology [bio]",1,"25436678: Please rate yourself in each of the following skills. Â Use 1 to mean ""weak"" and 5 to mean ""strong"".Leadership [lead]Hard work [hard]Able to work with others [team]Deliver on time [time]Adapt to changing requirements/environment [adapt]Thorough/detail oriented [detail]"
4132267,"4,4,3,1",0.25,"1,4,4,4,4,4"
2406651,"4,4,3,2",0,"3,4,5,4,4,4"
4109586,"4,5,4,1",0.25,"3,3,3,3,3,3"
4110035,"4,4,3,1",0.25,"5,4,5,5,5,3"
3946256,"2,2,5,5",0,"2,2,2,2,5,2"
4153099,"4,4,3,1",0.25,"4,4,5,5,3,5"
3951892,"5,4,5,5",0,"3,5,4,3,5,5"
3930505,"4,3,2,3",0,"3,4,5,5,3,3"
3754912,"5,3,3,3",0,"3,3,2,2,4,4"
3710675,"3,3,3,2",0,"2,4,5,5,4,4"
3710936,"4,3,3,2",0,"4,5,5,5,4,4"
4112497,"4,4,3,1",0.25,"2,5,5,5,4,4"
2370193,"2,3,2,3",0,"3,4,5,3,5,2"
3923961,"3,2,1,1",0.5,"3,4,5,5,4,5"
4124224,"3,2,2,4",0,"1,3,3,3,3,4"
3707118,"3,3,4,1",0.25,"4,5,5,5,3,3"
3928726,"4,2,3,2",0,"3,3,4,5,3,3"
3932211,"4,5,4,5",0,"5,4,4,4,4,5"
4114088,"3,2,2,2",0,"3,4,3,4,2,3"
3925919,"3,3,3,2",0,"4,4,5,5,5,3"
3911938,"5,4,5,3",0,"5,5,5,4,4,5"
3932292,"4,3,3,1",0.25,"4,2,5,5,5,2"
4139206,"4,3,2,3",0,"3,5,4,5,4,4"
3754915,"5,4,4,1",0.25,"5,5,3,4,4,3"
3924491,"5,2,3,1",0.25,"5,4,4,5,5,4"
4104136,"4,2,2,4",0,"5,3,5,3,4,4"
3954000,"4,2,3,2",0,"3,4,4,2,3,4"
3924661,"4,3,3,3",0,"3,5,5,5,5,5"
2416290,"3,3,3,1",0.25,"3,4,4,5,5,4"
4111531,"5,4,4,3",0,"4,4,4,5,5,3"
3935033,"4,5,3,2",0,"5,3,5,3,5,4"
3930043,"4,5,4,3",0,"4,5,5,5,5,4"
3946639,"3,4,2,3",0,"4,3,5,4,4,4"
4106564,"4,5,3,2",0,"3,4,5,4,5,4"
3933038,"5,4,3,4",0,"3,5,3,5,3,3"
3729711,"4,4,2,1",0.25,"4,5,5,4,3,3"
4107470,"3,2,1,2",0.25,"3,4,5,4,4,3"
3932227,"4,4,3,4",0,"3,4,5,5,5,4"
2408356,"3,3,3,5",0,"2,4,4,4,4,4"
3730206,"5,5,4,1",0.25,"4,4,3,5,5,4"
3735046,"4,3,3,1",0.25,"3,3,4,4,3,3"
3945401,"3,3,3,5",0,"2,5,5,4,4,5"
3925932,"5,4,3,2",0,"5,5,4,5,3,5"
4105717,"4,3,3,1",0.25,"5,4,5,4,5,4"
4226201,"4,4,2,2",0,"3,3,3,4,4,5"
3744856,"4,4,3,2",0,"4,4,3,5,4,4"
3926166,"4,2,3,4",0,"4,5,5,5,5,5"
3945899,"3,3,2,4",0,"3,4,4,4,5,3"
3938521,"3,3,2,3",0,"4,5,5,5,4,5"
3931178,"4,4,4,4",0,"4,5,5,5,5,5"
4109636,"4,5,5,2",0,"3,5,4,5,4,4"
4127213,"3,2,4,5",0,"5,5,5,5,5,3"
4109385,"5,3,4,1",0.25,"4,4,5,4,4,4"
3929723,"4,4,3,3",0,"4,4,5,5,5,4"
3926107,"4,3,3,1",0.25,"3,5,4,5,5,4"
4113653,"4,5,2,3",0,"3,5,4,5,4,4"
4107138,"4,4,3,1",0.25,"4,4,3,5,4,4"
4116907,"4,3,4,4",0,"3,4,5,4,4,3"
3929574,"4,4,3,4",0,"4,5,4,5,3,5"
3926509,"2,4,3,4",0,"4,4,5,5,5,3"
3929423,"3,4,3,2",0,"4,4,5,5,3,4"
3923639,"3,4,3,2",0,"4,5,4,5,3,4"
3929649,"4,4,4,1",0.25,"2,3,5,3,3,3"
3924759,"3,3,3,1",0.25,"4,3,4,4,4,3"
4107668,"4,3,3,1",0.25,"3,5,4,5,4,4"
4133413,"4,4,3,2",0,"4,5,4,5,5,4"
3926789,"4,3,1,1",0.5,"3,5,5,5,5,4"
4115001,"4,2,3,3",0,"4,5,4,5,3,4"
3934537,"3,2,2,1",0.25,"2,4,4,5,3,5"
4153177,"3,3,3,3",0,"3,4,5,3,5,5"
4108036,"4,4,4,1",0.25,"3,4,3,5,3,5"
4104019,"3,4,3,4",0,"5,5,5,5,4,5"
2421763,"3,3,2,4",0,"4,3,5,4,5,4"
3925979,"4,5,4,2",0,"3,4,5,4,5,5"
4107783,"4,2,3,1",0.25,"2,5,5,3,3,4"
4114946,"4,3,3,2",0,"3,5,4,3,4,1"
4112441,"4,4,3,4",0,"4,5,5,5,4,4"